Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1549800.0,,,
2020-01-02,,,,,,,,,,3754000.0,,,
2020-01-03,,,,,,,,,,1790500.0,,,
2020-01-06,,,,,,,,,,3893400.0,,,
2020-01-07,132.04,132.04,,,,,,,,6341700.0,,,
2020-01-08,132.49,132.59,,,,90.02,,,,11530300.0,,,
2020-01-09,133.23,133.7,,,,95.51,,,,16053100.0,,,
2020-01-10,134.48,135.14,,,,97.28,,,,20230700.0,,,
2020-01-13,135.82,136.4,,,,97.77,,,,25347800.0,,,
2020-01-14,137.44,137.82,,,,98.42,,,,30033000.0,,,
2020-01-15,138.92,138.92,,,,98.56,,,,33709500.0,,,
2020-01-16,140.03,139.75,,,,98.67,,,,37504300.0,,,
2020-01-17,140.34,139.7,,,,64.84,,,,32111100.0,,,
2020-01-21,140.74,140.1,,,,73.12,,,,36960600.0,,,
2020-01-22,140.92,140.59,,,,76.5,,,,39702700.0,,33.9,7.54
2020-01-23,140.94,140.79,,,,70.53,,,,36564000.0,,30.78,10.86
2020-01-24,140.47,140.22,,,,44.17,,,,33380700.0,,26.19,14.58
2020-01-27,140.21,139.58,,,,37.89,,,,30554300.0,,24.12,19.54
2020-01-28,139.88,139.48,,,,49.19,,,,33203400.0,,25.83,18.1
2020-01-29,139.55,139.62,,,,56.12,144.78,130.2,137.49,36018900.0,,28.89,16.38
2020-01-30,139.85,140.64,,,,74.34,145.12,130.98,138.05,41262300.0,,32.45,12.96
2020-01-31,139.96,140.31,,,,47.29,144.98,131.86,138.42,37348800.0,,28.58,11.41
2020-02-03,140.5,140.54,,,,56.23,144.77,132.99,138.88,42486600.0,,26.62,10.63
2020-02-04,141.33,141.5,,,,68.29,144.81,134.07,139.44,45664100.0,,32.37,9.52
2020-02-05,142.82,143.45,,,,79.56,145.62,134.75,140.18,49725000.0,,38.86,8.32
2020-02-06,143.75,144.74,3.35,,,79.11,146.29,135.44,140.86,46440000.0,,39.19,8.02
2020-02-07,145.1,145.29,3.44,,,70.28,146.83,135.95,141.39,43769600.0,,36.66,12.31
2020-02-10,146.0,145.37,3.39,,,61.58,147.25,136.27,141.76,38877500.0,41.8,30.77,23.28
2020-02-11,146.16,144.99,3.22,,,50.62,147.46,136.6,142.03,35901100.0,39.0,29.22,21.4
2020-02-12,145.4,144.5,2.99,,,44.77,147.6,136.74,142.17,31947900.0,36.57,27.94,20.47
2020-02-13,144.3,143.6,2.63,,,33.57,147.62,136.8,142.21,28492400.0,33.26,26.23,24.54
2020-02-14,143.24,142.77,2.27,,,29.85,147.61,136.77,142.19,26218700.0,30.46,24.77,27.06
2020-02-18,142.34,142.19,1.95,,,29.2,147.58,136.95,142.26,23360500.0,28.02,23.61,25.93
2020-02-19,141.65,141.73,1.67,2.77,-1.1,27.95,147.58,136.94,142.26,20277700.0,25.97,22.44,25.21
2020-02-20,141.35,141.82,1.52,2.52,-1.0,46.55,147.59,136.97,142.28,23694700.0,23.75,24.21,23.53
2020-02-21,141.4,141.89,1.39,2.29,-0.9,47.14,147.61,137.03,142.32,26595600.0,22.07,22.33,24.62
2020-02-24,140.81,140.65,0.96,2.03,-1.07,20.26,147.7,136.86,142.28,21868200.0,21.89,19.42,29.1
2020-02-25,139.69,138.9,0.4,1.7,-1.3,13.49,148.09,136.17,142.13,18466600.0,22.99,16.81,34.67
2020-02-26,138.23,137.11,-0.2,1.32,-1.52,10.48,148.8,134.89,141.84,13807600.0,24.39,15.05,34.74
2020-02-27,135.66,134.47,-1.01,0.85,-1.87,6.38,150.17,132.45,141.31,9514800.0,26.7,12.86,40.71
2020-02-28,132.48,131.69,-1.88,0.31,-2.19,4.74,151.5,129.46,140.48,1616500.0,29.9,10.59,50.85
2020-03-02,131.42,132.07,-2.01,-0.16,-1.85,44.06,151.65,128.63,140.14,8972200.0,30.11,22.16,43.46
2020-03-03,130.4,131.49,-2.28,-0.58,-1.7,36.89,151.88,127.33,139.61,2035600.0,29.4,24.34,37.52
2020-03-04,131.77,134.45,-1.67,-0.8,-0.87,65.14,151.61,127.3,139.45,7337500.0,27.28,28.91,30.67
2020-03-05,133.96,136.35,-1.19,-0.88,-0.31,64.31,150.7,127.48,139.09,455400.0,25.14,28.54,28.36
2020-03-06,137.03,138.05,-0.69,-0.84,0.15,67.26,149.85,127.75,138.8,8466100.0,23.61,25.34,28.44
2020-03-09,137.6,137.28,-0.76,-0.82,0.07,46.34,148.82,127.72,138.27,3114800.0,22.73,22.14,28.32
2020-03-10,139.78,138.58,-0.36,-0.73,0.37,60.84,148.17,127.94,138.05,9076000.0,21.63,21.25,25.27
2020-03-11,139.71,139.06,-0.14,-0.61,0.47,56.74,147.6,128.08,137.84,1864200.0,20.63,19.83,23.59
2020-03-12,136.88,134.71,-1.08,-0.71,-0.37,28.25,147.63,126.3,136.96,-5972100.0,21.8,16.16,34.28
2020-03-13,136.46,136.27,-0.74,-0.71,-0.03,55.12,147.34,126.35,136.84,869600.0,22.11,17.01,28.83
2020-03-16,135.2,133.97,-1.26,-0.82,-0.44,40.82,147.04,125.48,136.26,-5750100.0,22.43,14.89,25.53
2020-03-17,135.6,137.05,-0.56,-0.77,0.21,59.14,147.38,125.35,136.37,3159100.0,21.5,17.77,21.79
2020-03-18,136.21,139.06,-0.0,-0.62,0.61,58.96,147.72,125.24,136.48,-3575500.0,20.55,16.42,19.63
2020-03-19,137.63,137.07,-0.37,-0.57,0.2,43.71,147.06,125.0,136.03,-10130300.0,20.24,14.54,20.21
2020-03-20,134.23,132.18,-1.5,-0.75,-0.75,32.48,147.21,122.89,135.05,-19243800.0,21.47,12.84,27.73
2020-03-23,132.17,127.8,-2.64,-1.13,-1.51,29.51,148.0,120.19,134.1,-26543100.0,22.94,11.72,28.13
2020-03-24,128.1,126.17,-3.2,-1.55,-1.65,37.68,148.19,118.75,133.47,-19715800.0,24.29,10.96,26.32
2020-03-25,123.87,124.76,-3.68,-1.97,-1.7,36.37,148.44,117.34,132.89,-26187900.0,25.14,11.67,24.66
2020-03-26,124.13,127.95,-3.02,-2.18,-0.83,59.33,148.62,117.68,133.15,-19464300.0,23.87,18.54,21.73
2020-03-27,126.47,130.01,-2.48,-2.24,-0.24,58.82,148.68,118.42,133.55,-24181700.0,22.36,18.97,20.34
2020-03-30,130.35,132.82,-1.69,-2.13,0.44,65.54,149.1,118.55,133.83,-19124300.0,21.15,21.22,18.88
2020-03-31,133.51,134.79,-1.03,-1.91,0.88,65.99,149.58,118.92,134.25,-11564200.0,20.07,20.05,17.64
2020-04-01,136.41,135.33,-0.69,-1.67,0.98,58.21,149.16,118.94,134.05,-14862100.0,18.78,19.03,18.11
2020-04-02,137.97,137.61,0.05,-1.32,1.38,69.48,149.45,118.86,134.15,-10137100.0,18.49,22.32,16.56
2020-04-03,139.08,138.3,0.43,-0.97,1.4,60.55,149.21,118.92,134.06,-14150300.0,18.48,22.7,15.65
2020-04-06,139.72,139.4,0.88,-0.6,1.48,64.91,149.84,118.87,134.36,-9990400.0,18.47,21.89,15.09
2020-04-07,140.35,140.23,1.24,-0.23,1.47,65.57,149.94,118.84,134.39,-6089800.0,18.67,22.14,14.41
2020-04-08,142.31,142.22,1.85,0.18,1.67,75.0,150.92,118.48,134.7,-2083200.0,19.22,23.06,13.48
2020-04-09,143.02,143.39,2.27,0.6,1.67,72.21,152.07,119.3,135.69,-6498500.0,19.73,22.4,13.09
2020-04-13,143.97,143.74,2.47,0.98,1.5,64.22,152.69,119.18,135.94,-8787500.0,20.01,21.53,13.28
2020-04-14,145.87,146.19,3.14,1.41,1.73,79.03,154.73,119.32,137.03,-4977900.0,21.04,24.99,12.25
2020-04-15,147.73,147.86,3.62,1.85,1.77,79.14,156.01,118.84,137.42,-1363500.0,22.24,25.65,11.62
2020-04-16,149.43,150.15,4.25,2.33,1.92,84.45,157.94,118.07,138.01,2149400.0,23.64,26.8,11.06
2020-04-17,151.75,152.53,4.89,2.84,2.05,87.35,160.69,117.74,139.22,5859300.0,25.19,27.73,10.5
2020-04-20,154.42,154.28,5.38,3.35,2.03,87.9,162.46,119.52,140.99,8421500.0,26.91,29.15,9.95
2020-04-21,154.73,153.74,5.3,3.74,1.56,56.43,162.18,123.16,142.67,4151300.0,27.27,27.05,13.98
2020-04-22,155.84,154.73,5.49,4.09,1.4,67.8,162.54,126.18,144.36,7429300.0,27.81,27.32,13.24
2020-04-23,156.88,156.47,5.84,4.44,1.4,74.45,162.51,130.01,146.26,13122200.0,28.96,30.61,11.97
2020-04-24,158.01,158.62,6.28,4.81,1.47,79.4,164.51,130.86,147.69,17536200.0,30.28,31.54,11.29
2020-04-27,158.71,159.51,6.43,5.13,1.3,70.11,165.65,132.44,149.05,14325900.0,31.5,30.15,10.79
2020-04-28,159.63,158.77,6.15,5.34,0.81,51.72,166.22,133.76,149.99,11055700.0,31.44,28.23,14.98
2020-04-29,159.32,157.57,5.69,5.41,0.29,43.99,166.32,135.3,150.81,7815000.0,30.88,27.07,16.71
2020-04-30,158.26,156.59,5.23,5.37,-0.14,42.08,165.82,137.62,151.72,3639200.0,30.01,25.81,17.68
2020-05-01,156.4,155.61,4.72,5.24,-0.52,38.06,165.71,138.87,152.29,1062800.0,28.77,24.79,19.19
2020-05-04,154.8,154.83,4.25,5.04,-0.8,36.55,165.08,140.87,152.97,-1165700.0,27.88,25.08,18.0
2020-05-05,154.92,155.85,4.19,4.87,-0.68,61.63,164.87,142.7,153.79,1696900.0,27.63,27.15,16.49
2020-05-06,155.22,156.13,4.0,4.7,-0.69,54.55,164.22,144.83,154.53,-267900.0,27.4,26.2,15.92
2020-05-07,154.89,155.07,3.52,4.46,-0.95,37.89,163.82,145.91,154.87,-2598500.0,26.2,24.44,19.75
2020-05-08,154.87,154.55,3.14,4.2,-1.06,41.16,163.21,147.3,155.26,-631900.0,25.04,23.8,19.47
2020-05-11,155.92,155.89,3.21,4.0,-0.79,63.55,162.28,149.64,155.96,2564300.0,24.93,28.7,17.74
2020-05-12,155.89,156.5,3.16,3.83,-0.67,58.93,162.25,150.34,156.29,234900.0,25.16,29.88,16.79
2020-05-13,156.14,156.97,3.1,3.68,-0.58,59.86,162.13,151.13,156.63,2884900.0,24.92,28.45,18.23
2020-05-14,157.22,157.44,3.06,3.56,-0.5,62.13,162.29,151.33,156.81,5278800.0,24.1,26.33,20.1
2020-05-15,158.36,158.04,3.05,3.46,-0.4,66.61,162.49,151.33,156.91,8103300.0,23.45,25.81,19.06
2020-05-18,158.24,158.01,2.92,3.35,-0.43,54.57,162.5,151.33,156.92,5399600.0,23.41,28.01,17.59
2020-05-19,158.04,157.57,2.67,3.21,-0.54,44.57,162.36,151.88,157.12,3060200.0,22.84,26.4,19.31
2020-05-20,157.08,156.09,2.17,3.01,-0.84,27.04,162.46,151.42,156.94,-720600.0,21.37,24.15,23.05
2020-05-21,155.86,154.82,1.68,2.74,-1.06,24.2,162.25,150.86,156.56,-3770400.0,20.11,22.91,24.69
2020-05-22,154.25,153.6,1.19,2.43,-1.24,20.64,161.33,150.61,155.97,-6125400.0,18.94,22.06,23.78
